"year","week","date","unit","recent","origin","value"
"2024","29","2024-07-10","adm","rall","oall","173282"
"2024","30","2024-07-17","adm","rall","oall","147877"
"2024","31","2024-07-24","adm","rall","oall","159565"
"2024","32","2024-07-31","adm","rall","oall","167475"
"2024","33","2024-08-07","adm","rall","oall","141826"
"2024","34","2024-08-14","adm","rall","oall","222450"
"2024","35","2024-08-21","adm","rall","oall","147606"
"2024","36","2024-08-28","adm","rall","oall","267536"
"2024","37","2024-09-04","adm","rall","oall","137155"
"2024","38","2024-09-11","adm","rall","oall","152933"
"2024","39","2024-09-18","adm","rall","oall","102995"
"2024","40","2024-09-25","adm","rall","oall","154166"
"2024","41","2024-10-02","adm","rall","oall","188721"
"2024","42","2024-10-09","adm","rall","oall","193967"
"2024","43","2024-10-16","adm","rall","oall","195447"
"2024","44","2024-10-23","adm","rall","oall","198851"
"2024","45","2024-10-30","adm","rall","oall","198326"
"2024","46","2024-11-06","adm","rall","oall","181468"
"2024","47","2024-11-13","adm","rall","oall","204422"
"2024","48","2024-11-20","adm","rall","oall","166035"
"2024","49","2024-11-27","adm","rall","oall","258287"
"2024","50","2024-12-04","adm","rall","oall","252957"
"2024","51","2024-12-11","adm","rall","oall","216782"
"2024","52","2024-12-18","adm","rall","oall","270286"
"2024","53","2024-12-25","adm","rall","oall","335503"
"2025","1","2025-01-01","adm","rall","oall","302328"
"2025","2","2025-01-08","adm","rall","oall","192240"
"2025","3","2025-01-15","adm","rall","oall","161767"
"2025","4","2025-01-22","adm","rall","oall","167927"
"2025","5","2025-01-29","adm","rall","oall","188190"
"2025","6","2025-02-05","adm","rall","oall","191553"
"2025","7","2025-02-12","adm","rall","oall","210402"
"2025","8","2025-02-19","adm","rall","oall","203192"
"2025","9","2025-02-26","adm","rall","oall","191059"
"2025","10","2025-03-05","adm","rall","oall","152653"
"2025","11","2025-03-12","adm","rall","oall","201730"
"2025","12","2025-03-19","adm","rall","oall","155058"
"2025","13","2025-03-26","adm","rall","oall","163561"
"2025","14","2025-04-02","adm","rall","oall","166370"
"2025","15","2025-04-09","adm","rall","oall","189367"
"2025","16","2025-04-16","adm","rall","oall","216362"
"2025","17","2025-04-23","adm","rall","oall","168808"
"2025","18","2025-04-30","adm","rall","oall","144258"
"2025","19","2025-05-07","adm","rall","oall","93609"
"2025","20","2025-05-14","adm","rall","oall","96671"
"2025","21","2025-05-21","adm","rall","oall","224122"
"2025","22","2025-05-28","adm","rall","oall","188521"
"2025","23","2025-06-04","adm","rall","oall","225391"
"2025","24","2025-06-11","adm","rall","oall","100311"
"2025","25","2025-06-18","adm","rall","oall","92624"
"2025","26","2025-06-25","adm","rall","oall","122329"
"2025","27","2025-07-02","adm","rall","oall","201023"
"2025","28","2025-07-09","adm","rall","oall","161625"
"2025","29","2025-07-16","adm","rall","oall","161073"
"2025","30","2025-07-23","adm","rall","oall","250977"
"2025","31","2025-07-30","adm","rall","oall","169138"
"2025","32","2025-08-06","adm","rall","oall","87005"
"2025","33","2025-08-13","adm","rall","oall","119255"
"2025","34","2025-08-20","adm","rall","oall","130187"
"2019","1","2019-01-02","adm","rall","och","15022"
"2019","2","2019-01-09","adm","rall","och","23013"
"2019","3","2019-01-16","adm","rall","och","50895"
"2019","4","2019-01-23","adm","rall","och","58569"
"2019","5","2019-01-30","adm","rall","och","54606"
"2019","6","2019-02-06","adm","rall","och","42469"
"2019","7","2019-02-13","adm","rall","och","23942"
"2019","8","2019-02-20","adm","rall","och","19396"
"2019","9","2019-02-27","adm","rall","och","20286"
"2019","10","2019-03-06","adm","rall","och","24821"
"2019","11","2019-03-13","adm","rall","och","21804"
"2019","12","2019-03-20","adm","rall","och","18573"
"2019","13","2019-03-27","adm","rall","och","15744"
"2019","14","2019-04-03","adm","rall","och","24903"
"2019","15","2019-04-10","adm","rall","och","20695"
"2019","16","2019-04-17","adm","rall","och","9321"
"2019","17","2019-04-24","adm","rall","och","13504"
"2019","18","2019-05-01","adm","rall","och","11024"
"2019","19","2019-05-08","adm","rall","och","8343"
"2019","20","2019-05-15","adm","rall","och","8011"
"2019","21","2019-05-22","adm","rall","och","4988"
"2019","22","2019-05-29","adm","rall","och","3996"
"2019","23","2019-06-05","adm","rall","och","6460"
"2019","24","2019-06-12","adm","rall","och","6585"
"2019","25","2019-06-19","adm","rall","och","5583"
"2019","26","2019-06-26","adm","rall","och","3180"
"2019","27","2019-07-03","adm","rall","och","2815"
"2019","28","2019-07-10","adm","rall","och","1677"
"2019","29","2019-07-17","adm","rall","och","743"
"2019","30","2019-07-24","adm","rall","och","1796"
"2019","31","2019-07-31","adm","rall","och","674"
"2019","32","2019-08-07","adm","rall","och","966"
"2019","33","2019-08-14","adm","rall","och","1748"
"2019","34","2019-08-21","adm","rall","och","1278"
"2019","35","2019-08-28","adm","rall","och","6463"
"2019","36","2019-09-04","adm","rall","och","7341"
"2019","37","2019-09-11","adm","rall","och","7859"
"2019","38","2019-09-18","adm","rall","och","10551"
"2019","39","2019-09-25","adm","rall","och","8892"
"2019","40","2019-10-02","adm","rall","och","12166"
"2019","41","2019-10-09","adm","rall","och","7885"
"2019","42","2019-10-16","adm","rall","och","7638"
"2019","43","2019-10-23","adm","rall","och","7796"
"2019","44","2019-10-30","adm","rall","och","15571"
"2019","45","2019-11-06","adm","rall","och","46138"
"2019","46","2019-11-13","adm","rall","och","40244"
"2019","47","2019-11-20","adm","rall","och","28494"
"2019","48","2019-11-27","adm","rall","och","25844"
"2019","49","2019-12-04","adm","rall","och","17888"
"2019","50","2019-12-11","adm","rall","och","19184"
"2019","51","2019-12-18","adm","rall","och","21895"
"2019","52","2019-12-25","adm","rall","och","19888"
"2020","1","2020-01-01","adm","rall","och","15091"
"2020","2","2020-01-08","adm","rall","och","15727"
"2020","3","2020-01-15","adm","rall","och","65895"
"2020","4","2020-01-22","adm","rall","och","69510"
"2020","5","2020-01-29","adm","rall","och","67997"
"2020","6","2020-02-05","adm","rall","och","48323"
"2020","7","2020-02-12","adm","rall","och","44888"
